field,den,n,temp,ss_val,ss_fluc,ht_val,ht_fluc,mag_val,mag_fluc
0.05,0.35,169,1.75E-02,0.822265625,0,0.448242188,0,0.278382375,3.35E-04
0.05,0.4,169,1.75E-02,0.806640625,0,0.4921875,0,0.317588389,3.00E-04
0.05,0.45,169,1.75E-02,0.709960938,0,0.59765625,0,0.408815136,3.02E-04
0.05,0.5,169,1.75E-02,0.748046875,0,0.578125,0,0.385441457,2.32E-04
0.05,0.55,169,1.75E-02,0.859375,0,0.47265625,0,0.265531462,3.04E-04
0.05,0.6,218,3.67E-02,0.900282422,8.98E-04,0.363190234,2.16E-03,0.204907761,2.64E-04
0.06,0.05,169,1.74E-02,0.942382813,0,0.216796875,0,0.150727973,4.10E-04
0.06,0.1,169,1.75E-02,0.896484375,0,0.29296875,0,0.21095403,3.52E-04
0.06,0.15,169,1.75E-02,0.87890625,0,0.309570313,0,0.22500924,3.31E-04
0.06,0.2,169,1.74E-02,0.818359375,0,0.432617188,0,0.300038363,3.20E-04
0.06,0.25,169,1.75E-02,0.78125,0,0.482421875,0,0.343635472,3.17E-04
0.06,0.3,169,1.75E-02,0.68359375,0,0.559570313,0,0.434422768,4.05E-04
0.06,0.35,169,1.75E-02,0.717773438,0,0.575195313,0,0.408975622,3.45E-04
0.06,0.4,169,1.75E-02,0.609375,0,0.655273438,0,0.506791483,3.51E-04
0.06,0.45,169,1.75E-02,0.602539063,0,0.670898438,0,0.521178323,2.24E-04
0.06,0.5,169,1.75E-02,0.672851563,0,0.619140625,0,0.469834599,1.97E-04
0.06,0.55,169,1.75E-02,0.669921875,0,0.6484375,0,0.455998246,2.45E-04
0.06,0.6,218,3.67E-02,0.884267578,4.89E-04,0.392722656,1.42E-03,0.242887233,2.25E-04
0.07,0.05,169,1.74E-02,0.89453125,0,0.283203125,0,0.20774761,3.85E-04
0.07,0.1,169,1.75E-02,0.836914063,0,0.365234375,0,0.276193295,4.00E-04
0.07,0.15,169,1.75E-02,0.84375,0,0.37109375,0,0.28111233,2.96E-04
0.07,0.2,169,1.75E-02,0.748046875,0,0.481445313,0,0.371530109,4.40E-04
0.07,0.25,169,1.75E-02,0.694335938,0,0.547851563,0,0.422420259,2.77E-04
0.07,0.3,169,1.75E-02,0.586914063,0,0.623046875,0,0.508791202,3.10E-04
0.07,0.35,169,1.75E-02,0.497070313,0,0.703125,0,0.601305374,2.22E-04
0.07,0.4,169,1.75E-02,0.481445313,0,0.755859375,0,0.624767495,2.60E-04
0.07,0.45,169,1.75E-02,0.35546875,0,0.817382813,0,0.715476538,3.06E-04
0.07,0.5,169,1.75E-02,0.452148438,0,0.79296875,0,0.647924522,2.13E-04
0.07,0.55,169,1.75E-02,0.6328125,0,0.694335938,0,0.503287027,2.13E-04
0.07,0.6,218,3.67E-02,0.826763672,1.02E-03,0.496876172,1.33E-03,0.298232496,3.28E-04
0.08,0.05,169,1.74E-02,0.870117188,0,0.3203125,0,0.263771725,3.85E-04
0.08,0.1,169,1.75E-02,0.734375,0,0.457442871,4.82E-04,0.370208492,4.44E-04
0.08,0.15,169,1.75E-02,0.6796875,0,0.543945313,0,0.440151349,2.52E-04
0.08,0.2,169,1.75E-02,0.579101563,0,0.618164063,0,0.528755441,2.70E-04
0.08,0.25,169,1.75E-02,0.548828125,0,0.658203125,0,0.564015748,2.95E-04
0.08,0.3,169,1.75E-02,0.438476563,0,0.74609375,0,0.663518714,2.36E-04
0.08,0.35,169,1.75E-02,0.354492188,0,0.796875,0,0.722805495,2.60E-04
0.08,0.4,169,1.76E-02,0.301757813,0,0.836914063,0,0.758986937,2.46E-04
0.08,0.45,169,1.76E-02,0.26171875,0,0.88671875,0,0.795076398,2.39E-04
0.08,0.5,169,1.76E-02,0.307617188,0,0.87890625,0,0.765845644,1.91E-04
0.08,0.55,169,1.75E-02,0.587890625,0,0.715820313,0,0.54963906,2.13E-04
0.08,0.6,218,3.68E-02,0.794183984,8.73E-04,0.497663281,9.62E-04,0.33913418,2.15E-04
0.09,0.05,169,1.75E-02,0.756835938,0,0.403320313,0,0.353947162,4.55E-04
0.09,0.1,169,1.75E-02,0.637695313,0,0.552734375,0,0.48260527,4.20E-04
0.09,0.15,169,1.75E-02,0.6171875,0,0.598632813,0,0.514855567,3.43E-04
0.09,0.2,169,1.75E-02,0.46875,0,0.711914063,0,0.633438203,3.48E-04
0.09,0.25,169,1.75E-02,0.379882813,0,0.765625,0,0.71085413,3.48E-04
0.09,0.3,169,1.75E-02,0.323242188,0,0.821289063,0,0.750888751,2.48E-04
0.09,0.35,169,1.76E-02,0.202148438,0,0.8828125,0,0.845298948,1.76E-04
0.09,0.4,169,1.76E-02,0.231445313,0,0.888671875,0,0.826601205,1.82E-04
0.09,0.45,169,1.76E-02,0.112304688,0,0.942382813,0,0.915067362,1.64E-04
0.09,0.5,169,1.76E-02,0.25390625,0,0.888671875,0,0.815136134,1.59E-04
0.09,0.55,169,1.76E-02,0.522460938,0,0.771484375,0,0.594738005,1.89E-04
0.09,0.6,218,3.68E-02,0.710727734,7.01E-04,0.598778516,1.82E-03,0.417363085,2.11E-04
0.1,0.05,169,1.75E-02,0.706054688,0,0.469726563,0,0.433239871,6.28E-04
0.1,0.1,169,1.75E-02,0.534179688,0,0.641601563,0,0.572634031,5.30E-04
0.1,0.15,169,1.75E-02,0.345703125,0,0.7578125,0,0.732584765,3.23E-04
0.1,0.2,169,1.75E-02,0.34765625,0,0.771484375,0,0.720452899,3.01E-04
0.1,0.25,169,1.76E-02,0.236328125,0,0.861328125,0,0.818102078,3.16E-04
0.1,0.3,169,1.76E-02,0.193359375,0,0.880859375,0,0.844937838,2.47E-04
0.1,0.35,169,1.76E-02,0.142578125,0,0.927734375,0,0.888635953,2.09E-04
0.1,0.4,169,1.76E-02,0.114257813,0,0.935546875,0,0.908927925,2.31E-04
0.1,0.45,169,1.76E-02,0.125,0,0.946289063,0,0.908766109,1.43E-04
0.1,0.5,169,1.77E-02,0.134765625,0,0.9375,0,0.890609222,2.69E-04
0.1,0.55,169,1.76E-02,0.435546875,0,0.815429688,0,0.667478352,2.09E-04
0.1,0.6,218,3.69E-02,0.71405,6.87E-04,0.571988672,1.23E-03,0.418553114,2.13E-04
0.11,0.05,169,1.75E-02,0.647460938,0,0.520507813,0,0.471269491,3.93E-04
0.11,0.1,169,1.75E-02,0.418945313,0,0.697265625,0,0.672157746,3.09E-04
0.11,0.15,169,1.75E-02,0.29296875,0,0.797851563,0,0.763954223,3.46E-04
0.11,0.2,169,1.75E-02,0.243164063,0,0.825195313,0,0.807133946,3.00E-04
0.11,0.25,169,1.76E-02,0.190429688,0,0.881835938,0,0.85678683,2.94E-04
0.11,0.3,169,1.76E-02,9.57E-02,0,0.935546875,0,0.925131327,1.92E-04
0.11,0.35,169,1.76E-02,5.57E-02,0,0.9609375,0,0.954613052,1.53E-04
0.11,0.4,169,1.77E-02,7.23E-02,0,0.958984375,0,0.944291981,1.50E-04
0.11,0.45,169,1.77E-02,4.98E-02,0,0.96484375,0,0.96134283,1.80E-04
0.11,0.5,169,1.77E-02,0.106445313,0,0.951171875,0,0.919304137,1.55E-04
0.11,0.55,169,1.77E-02,0.336914063,0,0.862304688,0,0.744214281,1.68E-04
0.11,0.6,218,3.68E-02,0.622323438,8.00E-04,0.711087109,1.13E-03,0.515026647,2.50E-04
0.12,0.05,169,1.75E-02,0.436523438,0,0.611328125,0,0.639475591,3.79E-04
0.12,0.1,169,1.75E-02,0.340820313,0,0.736328125,0,0.736055028,4.11E-04
0.12,0.15,169,1.76E-02,0.225585938,0,0.83203125,0,0.827493529,2.67E-04
0.12,0.2,169,1.76E-02,0.126953125,0,0.890625,0,0.901110989,2.63E-04
0.12,0.25,169,1.76E-02,0.10546875,0,0.904296875,0,0.914708468,2.45E-04
0.12,0.3,169,1.76E-02,0.110351563,0,0.922851563,0,0.918017962,1.79E-04
0.12,0.35,169,1.77E-02,5.96E-02,0,0.953125,0,0.949091691,1.88E-04
0.12,0.4,169,1.77E-02,3.13E-02,0,0.96875,0,0.972078758,1.46E-04
0.12,0.45,169,1.77E-02,2.64E-02,0,0.98046875,0,0.977595084,1.39E-04
0.12,0.5,169,1.78E-02,3.52E-02,0,0.983398438,0,0.968135137,1.27E-04
0.12,0.55,169,1.77E-02,0.236328125,0,0.905273438,0,0.813914233,1.87E-04
0.12,0.6,218,3.69E-02,0.566387109,8.80E-04,0.754783203,9.94E-04,0.552204517,2.69E-04
0.13,0.05,169,1.75E-02,0.419921875,0,0.647460938,0,0.671333672,3.35E-04
0.13,0.1,169,1.75E-02,0.245117188,0,0.811523438,0,0.80332772,2.97E-04
0.13,0.15,169,1.76E-02,0.159179688,0,0.8515625,0,0.874135609,2.15E-04
0.13,0.2,169,1.76E-02,9.67E-02,0,0.928710938,0,0.922615468,3.05E-04
0.13,0.25,169,1.76E-02,7.71E-02,0,0.923828125,0,0.941705642,2.34E-04
0.13,0.3,169,1.77E-02,5.08E-02,0,0.951171875,0,0.958074429,1.84E-04
0.13,0.35,169,1.77E-02,5.66E-02,0,0.958984375,0,0.955099578,1.71E-04
0.13,0.4,169,1.78E-02,1.95E-02,0,0.975585938,0,0.979972609,1.78E-04
0.13,0.45,169,1.78E-02,1.37E-02,0,0.986328125,0,0.987524535,1.20E-04
0.13,0.5,169,1.78E-02,2.44E-02,0,0.984375,0,0.975040598,1.26E-04
0.13,0.55,169,1.78E-02,0.142578125,0,0.948242188,0,0.894641898,1.63E-04
0.13,0.6,218,3.71E-02,0.514269141,5.38E-04,0.762821094,7.52E-04,0.596150163,1.66E-04
0.14,0.05,169,1.75E-02,0.249023438,0,0.731445313,0,0.807322182,4.21E-04
0.14,0.1,169,1.76E-02,0.184570313,0,0.830078125,0,0.857592231,2.62E-04
0.14,0.15,169,1.76E-02,0.107421875,0,0.889648438,0,0.914271645,3.25E-04
0.14,0.2,169,1.77E-02,8.40E-02,0,0.93438916,3.79E-04,0.930818087,2.21E-04
0.14,0.25,169,1.77E-02,6.93E-02,0,0.943359375,0,0.939976887,1.89E-04
0.14,0.3,169,1.77E-02,3.13E-02,0,0.956054688,0,0.973457267,2.06E-04
0.14,0.35,169,1.77E-02,3.91E-02,0,0.96875,0,0.969125722,1.12E-04
0.14,0.4,169,1.78E-02,3.61E-02,0,0.971679688,0,0.969839276,1.28E-04
0.14,0.45,169,1.78E-02,5.86E-03,0,0.985351563,0,0.99127662,1.36E-04
0.14,0.5,169,1.78E-02,8.79E-03,0,0.98828125,0,0.99068314,1.11E-04
0.14,0.55,169,1.78E-02,0.151367188,0,0.940429688,0,0.884640218,1.48E-04
0.14,0.6,218,3.70E-02,0.455949609,9.63E-04,0.815238672,7.30E-04,0.654284423,1.87E-04
0.15,0.05,169,1.75E-02,0.209960938,0,0.74609375,0,0.830729217,3.17E-04
0.15,0.1,169,1.76E-02,0.153320313,0,0.837890625,0,0.881139376,2.48E-04
0.15,0.15,169,1.76E-02,6.84E-02,0,0.916015625,0,0.945751146,1.71E-04
0.15,0.2,169,1.77E-02,3.61E-02,0,0.934570313,0,0.969162402,2.00E-04
